attempttime,difficulty,userid,iscorrect,examid
1488744652536,2,ef405ff0-59f2-11e6-bd5d-1b5648f9be1b,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652700,2,a017c460-5a04-11e6-ac3c-625df66a5d80,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652717,2,a017c460-5a04-11e6-ac3c-625df66a5d80,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652719,2,a017c460-5a04-11e6-ac3c-625df66a5d80,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652774,2,bc5bd0a0-5a0c-11e6-9645-e6f1d39f8e1f,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652784,2,bc5bd0a0-5a0c-11e6-9645-e6f1d39f8e1f,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652880,2,8db639a0-5a1d-11e6-909f-cf46ce984899,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652886,2,8db639a0-5a1d-11e6-909f-cf46ce984899,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652888,2,8db639a0-5a1d-11e6-909f-cf46ce984899,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652893,2,8db639a0-5a1d-11e6-909f-cf46ce984899,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652895,2,8db639a0-5a1d-11e6-909f-cf46ce984899,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652953,2,95996a79-5a2f-11e6-84cc-9bfdc012c7dd,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652955,2,95996a79-5a2f-11e6-84cc-9bfdc012c7dd,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652961,2,95996a79-5a2f-11e6-84cc-9bfdc012c7dd,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652966,2,95996a79-5a2f-11e6-84cc-9bfdc012c7dd,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744652971,2,95996a79-5a2f-11e6-84cc-9bfdc012c7dd,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653042,2,29c2f3fb-5a42-11e6-b886-505c5eab94d2,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653045,2,29c2f3fb-5a42-11e6-b886-505c5eab94d2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653047,2,29c2f3fb-5a42-11e6-b886-505c5eab94d2,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653050,1,29c2f3fb-5a42-11e6-b886-505c5eab94d2,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653052,2,29c2f3fb-5a42-11e6-b886-505c5eab94d2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653054,2,29c2f3fb-5a42-11e6-b886-505c5eab94d2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653056,1,29c2f3fb-5a42-11e6-b886-505c5eab94d2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653059,2,29c2f3fb-5a42-11e6-b886-505c5eab94d2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653062,2,29c2f3fb-5a42-11e6-b886-505c5eab94d2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653065,2,29c2f3fb-5a42-11e6-b886-505c5eab94d2,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653272,2,eb15035d-5a5f-11e6-84b6-1f008e96ba09,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653275,2,eb15035d-5a5f-11e6-84b6-1f008e96ba09,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653277,2,eb15035d-5a5f-11e6-84b6-1f008e96ba09,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653279,1,eb15035d-5a5f-11e6-84b6-1f008e96ba09,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653283,2,eb15035d-5a5f-11e6-84b6-1f008e96ba09,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653286,1,eb15035d-5a5f-11e6-84b6-1f008e96ba09,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653294,2,eb15035d-5a5f-11e6-84b6-1f008e96ba09,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653724,2,28d34fc9-5ad5-11e6-86d7-b364588172c2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653730,2,28d34fc9-5ad5-11e6-86d7-b364588172c2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653744,2,28d34fc9-5ad5-11e6-86d7-b364588172c2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744653747,2,28d34fc9-5ad5-11e6-86d7-b364588172c2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488744654154,2,2be759d2-5b15-11e6-84f5-70cafc74d8d3,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
